# Plot Line Tracer Export
# Calibration Data
# BottomLeft: PixelX=125, PixelY=363.45001220703125, PlotX=2020, PlotY=0
# TopRight: PixelX=733, PixelY=19.45001220703125, PlotX=2050, PlotY=8.5
# Data
Line,Point,PixelX,PixelY,PlotX,PlotY
20,6,255.00,214.45,2026.414474,3.681686
20,7,280.00,185.45,2027.648026,4.398256
20,8,312.00,167.45,2029.226974,4.843023
20,9,331.00,146.45,2030.164474,5.361919
20,10,357.00,116.45,2031.447368,6.103198
20,11,374.00,106.45,2032.286184,6.350291
20,12,399.00,86.45,2033.519737,6.844477
20,13,422.00,71.45,2034.654605,7.215116
20,14,432.00,49.45,2035.148026,7.758721
20,15,459.00,27.45,2036.480263,8.302326
20,16,475.00,20.45,2037.269737,8.475291
21,1,111.00,370.45,2019.309211,-0.172965
21,2,134.00,349.45,2020.444079,0.345930
21,3,169.00,326.45,2022.171053,0.914244
21,4,194.00,300.45,2023.404605,1.556686
21,5,214.00,277.45,2024.391447,2.125000
21,6,232.00,247.45,2025.279605,2.866279
21,7,240.00,229.45,2025.674342,3.311047
21,8,253.00,206.45,2026.315789,3.879360
21,9,277.00,180.45,2027.500000,4.521802
21,10,293.00,169.45,2028.289474,4.793605
21,11,312.00,158.45,2029.226974,5.065407
21,12,327.00,145.45,2029.967105,5.386628
21,13,344.00,134.45,2030.805921,5.658430
21,14,363.00,122.45,2031.743421,5.954942
21,15,379.00,106.45,2032.532895,6.350291
21,16,405.00,86.45,2033.815789,6.844477
21,17,432.00,68.45,2035.148026,7.289244
21,18,456.00,45.45,2036.332237,7.857558
21,19,477.00,24.45,2037.368421,8.376453
22,1,112.00,367.45,2019.358553,-0.098837
22,2,165.00,326.45,2021.973684,0.914244
22,3,185.00,305.45,2022.960526,1.433140
22,4,223.00,269.45,2024.835526,2.322674
22,5,240.00,236.45,2025.674342,3.138081
22,6,284.00,154.45,2027.845395,5.164244
22,7,316.00,81.45,2029.424342,6.968023
22,8,343.00,25.45,2030.756579,8.351744
23,1,111.00,372.45,2019.309211,-0.222384
23,2,148.00,344.45,2021.134868,0.469477
23,3,178.00,312.45,2022.615132,1.260174
23,4,206.00,279.45,2023.996711,2.075581
23,5,230.00,249.45,2025.180921,2.816860
23,6,251.00,222.45,2026.217105,3.484012
23,7,270.00,197.45,2027.154605,4.101744
23,8,289.00,151.45,2028.092105,5.238372
23,9,312.00,98.45,2029.226974,6.547965
23,10,332.00,58.45,2030.213816,7.536337
23,11,345.00,25.45,2030.855263,8.351744
24,1,111.00,367.45,2019.309211,-0.098837
24,2,150.00,336.45,2021.233553,0.667151
24,3,175.00,314.45,2022.467105,1.210756
24,4,203.00,283.45,2023.848684,1.976744
24,5,231.00,252.45,2025.230263,2.742733
24,6,255.00,212.45,2026.414474,3.731105
24,7,279.00,183.45,2027.598684,4.447674
24,8,302.00,153.45,2028.733553,5.188953
24,9,321.00,127.45,2029.671053,5.831395
24,10,338.00,99.45,2030.509868,6.523256
24,11,354.00,69.45,2031.299342,7.264535
24,12,371.00,46.45,2032.138158,7.832849
24,13,385.00,25.45,2032.828947,8.351744
25,1,107.00,371.95,2019.111842,-0.210029
25,2,132.00,351.95,2020.345395,0.284157
25,3,158.00,336.95,2021.628289,0.654797
25,4,183.00,312.95,2022.861842,1.247820
25,5,195.00,294.95,2023.453947,1.692587
25,6,215.00,272.95,2024.440789,2.236192
25,7,230.00,249.95,2025.180921,2.804506
25,8,242.00,231.95,2025.773026,3.249273
25,9,253.00,214.95,2026.315789,3.669331
25,10,265.00,194.95,2026.907895,4.163517
25,11,277.00,182.95,2027.500000,4.460029
25,12,303.00,165.95,2028.782895,4.880087
25,13,330.00,154.95,2030.115132,5.151890
25,14,361.00,145.95,2031.644737,5.374273
25,15,379.00,129.95,2032.532895,5.769622
25,16,406.00,110.95,2033.865132,6.239099
25,17,433.00,95.95,2035.197368,6.609738
25,18,468.00,80.95,2036.924342,6.980378
25,19,510.00,68.95,2038.996711,7.276890
25,20,544.00,52.95,2040.674342,7.672238
25,21,569.00,44.95,2041.907895,7.869913
25,22,610.00,35.95,2043.930921,8.092297
25,23,646.00,23.95,2045.707237,8.388808
26,1,104.00,371.95,2018.963816,-0.210029
26,2,131.00,352.95,2020.296053,0.259448
26,3,160.00,331.95,2021.726974,0.778343
26,4,181.00,314.95,2022.763158,1.198401
26,5,198.00,291.95,2023.601974,1.766715
26,6,211.00,273.95,2024.243421,2.211483
26,7,227.00,247.95,2025.032895,2.853924
26,8,241.00,234.95,2025.723684,3.175145
26,9,275.00,204.95,2027.401316,3.916424
26,10,306.00,178.95,2028.930921,4.558866
26,11,331.00,152.95,2030.164474,5.201308
26,12,365.00,109.95,2031.842105,6.263808
26,13,392.00,73.95,2033.174342,7.153343
26,14,415.00,50.95,2034.309211,7.721657
26,15,478.00,33.95,2037.417763,8.141715
26,16,563.00,28.95,2041.611842,8.265262
26,17,664.00,22.95,2046.595395,8.413517
27,1,108.00,368.95,2019.161184,-0.135901
27,2,148.00,344.95,2021.134868,0.457122
27,3,181.00,321.95,2022.763158,1.025436
27,4,209.00,286.95,2024.144737,1.890262
27,5,234.00,245.95,2025.378289,2.903343
27,6,245.00,229.95,2025.921053,3.298692
27,7,267.00,221.95,2027.006579,3.496366
27,8,321.00,214.95,2029.671053,3.669331
27,9,504.00,204.95,2038.700658,3.916424
27,10,748.00,197.95,2050.740132,4.089390
28,1,110.00,369.95,2019.259868,-0.160610
28,2,146.00,347.95,2021.036184,0.382994
28,3,176.00,325.95,2022.516447,0.926599
28,4,203.00,287.95,2023.848684,1.865552
28,5,222.00,268.95,2024.786184,2.335029
28,6,235.00,243.95,2025.427632,2.952762
28,7,248.00,189.95,2026.069079,4.287064
28,8,257.00,90.95,2026.513158,6.733285
28,9,262.00,16.95,2026.759868,8.561773
29,1,109.00,369.95,2019.210526,-0.160610
29,2,142.00,342.95,2020.838816,0.506541
29,3,176.00,314.95,2022.516447,1.198401
29,4,203.00,284.95,2023.848684,1.939680
29,5,227.00,252.95,2025.032895,2.730378
29,6,245.00,231.95,2025.921053,3.249273
29,7,267.00,189.95,2027.006579,4.287064
29,8,294.00,151.95,2028.338816,5.226017
29,9,316.00,129.95,2029.424342,5.769622
29,10,363.00,102.95,2031.743421,6.436773
29,11,405.00,74.95,2033.815789,7.128634
29,12,434.00,53.95,2035.246711,7.647529
29,13,489.00,20.95,2037.960526,8.462936
30,1,111.00,372.45,2019.309211,-0.222384
30,2,155.00,339.45,2021.480263,0.593023
30,3,197.00,305.45,2023.552632,1.433140
30,4,221.00,265.45,2024.736842,2.421512
30,5,249.00,223.45,2026.118421,3.459302
30,6,279.00,186.45,2027.598684,4.373547
30,7,312.00,166.45,2029.226974,4.867733
30,8,355.00,149.45,2031.348684,5.287791
30,9,416.00,138.45,2034.358553,5.559593
30,10,483.00,118.45,2037.664474,6.053779
30,11,543.00,97.45,2040.625000,6.572674
30,12,604.00,84.45,2043.634868,6.893895
30,13,726.00,67.45,2049.654605,7.313953
31,1,111.00,368.45,2019.309211,-0.123547
31,2,148.00,346.45,2021.134868,0.420058
31,3,193.00,308.45,2023.355263,1.359012
31,4,230.00,253.45,2025.180921,2.718023
31,5,262.00,209.45,2026.759868,3.805233
31,6,292.00,173.45,2028.240132,4.694767
31,7,318.00,144.45,2029.523026,5.411337
31,8,341.00,119.45,2030.657895,6.029070
31,9,381.00,73.45,2032.631579,7.165698
31,10,406.00,24.45,2033.865132,8.376453
32,1,110.00,371.45,2019.259868,-0.197674
32,2,145.00,347.45,2020.986842,0.395349
32,3,182.00,319.45,2022.812500,1.087209
32,4,217.00,275.45,2024.539474,2.174419
32,5,245.00,221.45,2025.921053,3.508721
32,6,269.00,183.45,2027.105263,4.447674
32,7,297.00,159.45,2028.486842,5.040698
32,8,352.00,141.45,2031.200658,5.485465
32,9,406.00,130.45,2033.865132,5.757267
